 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jan/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"120033 Mâncio Lima";43;43;35503,36;27524,44;-;-;7978,92;-;-;825,66;825,66;144;3,3;2;4,65
"120034 Manoel Urbano";41;41;15828,13;11609,85;-;-;4218,28;-;-;386,05;386,05;128;3,1;3;7,32
"120035 Marechal Thaumaturgo";65;65;22081,44;15524,67;-;-;6556,77;-;-;339,71;339,71;161;2,5;-;-
"120038 Plácido de Castro";104;104;61099,75;45318,26;-;-;15781,49;-;-;587,50;587,50;567;5,5;2;1,92
"120080 Porto Acre";52;52;39645,57;28628,62;-;-;11016,95;-;-;762,41;762,41;273;5,3;1;1,92
"120039 Porto Walter";11;11;6564,26;4827,60;-;-;1736,66;-;-;596,75;596,75;69;6,3;-;-
"120040 Rio Branco";1927;1929;1938558,54;1456547,12;-;-;482011,42;-;-;1004,96;1006,00;11522;6,0;87;4,51
"120042 Rodrigues Alves";90;90;41296,03;32901,47;-;-;8394,56;-;-;458,84;458,84;240;2,7;1;1,11
"120043 Santa Rosa do Purus";10;10;26742,09;22222,14;-;-;4519,95;-;-;2674,21;2674,21;95;9,5;1;10,00
"120050 Sena Madureira";234;234;267454,45;223595,19;-;-;43859,26;-;-;1142,97;1142,97;1210;5,2;7;2,99
"120045 Senador Guiomard";80;80;75599,89;59156,63;-;-;16443,26;-;-;945,00;945,00;445;5,6;3;3,75
"120060 Tarauacá";163;163;79073,73;60457,51;-;-;18616,22;-;-;485,11;485,11;539;3,3;9;5,52
"120070 Xapuri";109;109;96458,10;76644,37;-;-;19813,73;-;-;884,94;884,94;531;4,9;2;1,83
"130002 Alvarães";45;45;20881,35;16598,70;-;-;4282,65;-;-;464,03;464,03;217;4,8;1;2,22
"130006 Amaturá";44;44;15325,99;11201,48;-;-;4124,51;-;-;348,32;348,32;152;3,5;1;2,27
"130008 Anamã";11;11;38687,13;32710,94;-;-;5976,19;-;-;3517,01;3517,01;112;10,2;1;9,09
"130010 Anori";54;54;51368,80;41358,83;-;-;10009,97;-;-;951,27;951,27;230;4,3;1;1,85
"130014 Apuí";77;77;32450,39;22126,29;-;-;10324,10;-;-;421,43;421,43;217;2,8;1;1,30
"130020 Atalaia do Norte";67;67;38390,44;30219,54;-;-;8170,90;-;-;572,99;572,99;217;3,2;1;1,49
"130030 Autazes";103;103;94071,13;67109,25;-;-;26961,88;-;-;913,31;913,31;394;3,8;5;4,85
"130040 Barcelos";16;16;34421,67;29196,78;-;-;5224,89;-;-;2151,35;2151,35;222;13,9;-;-
"130050 Barreirinha";50;50;23445,91;17465,25;-;-;5980,66;-;-;468,92;468,92;239;4,8;1;2,00
"130060 Benjamin Constant";169;169;83853,85;58390,47;-;-;25463,38;-;-;496,18;496,18;464;2,7;1;0,59
"130063 Beruri";58;58;33532,66;24662,22;-;-;8870,44;-;-;578,15;578,15;185;3,2;1;1,72
