 Morbidade Hospitalar do SUS - por local de residência - Brasil;;;;;;;;;;;;;;;;
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município;;;;;;;;;;;;;;;;
Período:Abr/2020;;;;;;;;;;;;;;;;
Município;Internações;AIH_aprovadas;Valor_total;Valor_serviços_hospitalares;Val_serv_hosp_-_compl_federal;Val_serv_hosp_-_compl_gestor;Valor_serviços_profissionais;Val_serv_prof_-_compl_federal;Val_serv_prof_-_compl_gestor;Valor_médio_AIH;Valor_médio_intern;Dias_permanência;Média_permanência;Óbitos;Taxa_mortalidade;Data
110028 Rolim de Moura;274;274;161604,8;124173,49;-;-;37431,31;-;-;589,8;589,8;915;3,3;9;3,28;
110029 Santa Luzia D'Oeste;56;56;26150,28;21141,68;-;-;5008,6;-;-;466,97;466,97;262;4,7;2;3,57;
110148 São Felipe D'Oeste;18;18;13942,74;10147,1;-;-;3795,64;-;-;774,6;774,6;65;3,6;1;5,56;
110149 São Francisco do Guaporé;108;108;78245,81;62805,19;-;-;15440,62;-;-;724,5;724,5;388;3,6;4;3,7;
110032 São Miguel do Guaporé;110;110;121527,1;97747,73;-;-;23779,37;-;-;1104,79;1104,79;487;4,4;2;1,82;
110150 Seringueiras;50;50;37997,56;30077,07;-;-;7920,49;-;-;759,95;759,95;165;3,3;-;-;
110155 Teixeirópolis;4;4;11315,98;9870,47;-;-;1445,51;-;-;2828,99;2828,99;26;6,5;1;25;
110160 Theobroma;34;34;28209,87;21803,53;-;-;6406,34;-;-;829,7;829,7;174;5,1;1;2,94;
110170 Urupá;28;28;34173,91;28064,13;-;-;6109,78;-;-;1220,5;1220,5;109;3,9;1;3,57;
110175 Vale do Anari;13;13;10259,54;8341,93;-;-;1917,61;-;-;789,2;789,2;53;4,1;3;23,08;
110180 Vale do Paraíso;15;15;41100,87;29650,05;-;-;11450,82;-;-;2740,06;2740,06;182;12,1;1;6,67;
110030 Vilhena;823;823;536524,03;420234,78;-;-;116289,25;-;-;651,91;651,91;2997;3,6;26;3,16;
120001 Acrelândia;32;32;38931,03;28270,69;-;-;10660,34;-;-;1216,59;1216,59;130;4,1;1;3,13;
120005 Assis Brasil;37;37;24076,08;16833,47;-;-;7242,61;-;-;650,7;650,7;180;4,9;1;2,7;
120010 Brasiléia;117;120;189473,93;152931,86;-;-;36542,07;-;-;1578,95;1619,44;543;4,6;3;2,56;
120013 Bujari;13;13;10454,99;8302,31;-;-;2152,68;-;-;804,23;804,23;48;3,7;1;7,69;
120017 Capixaba;17;17;8442,4;6584,37;-;-;1858,03;-;-;496,61;496,61;55;3,2;2;11,76;
120020 Cruzeiro do Sul;396;396;238228,18;177806,22;-;-;60421,96;-;-;601,59;601,59;1450;3,7;13;3,28;
120025 Epitaciolândia;80;80;46399,38;36504,01;-;-;9895,37;-;-;579,99;579,99;301;3,8;2;2,5;
120030 Feijó;33;33;20130,81;15300,36;-;-;4830,45;-;-;610,02;610,02;147;4,5;1;3,03;
120032 Jordão;15;15;16286,96;12060,42;-;-;4226,54;-;-;1085,8;1085,8;78;5,2;-;-;
120033 Mâncio Lima;71;71;40762,14;29736,57;-;-;11025,57;-;-;574,11;574,11;257;3,6;-;-;
120034 Manoel Urbano;29;29;17379,08;13667,1;-;-;3711,98;-;-;599,28;599,28;108;3,7;1;3,45;
120035 Marechal Thaumaturgo;88;88;31568,02;23310,02;-;-;8258;-;-;358,73;358,73;279;3,2;2;2,27;
120038 Plácido de Castro;54;54;31613,84;23034,13;-;-;8579,71;-;-;585,44;585,44;289;5,4;4;7,41;
120080 Porto Acre;37;37;22516,89;16683,53;-;-;5833,36;-;-;608,56;608,56;194;5,2;5;13,51;
120039 Porto Walter;15;15;8747,15;6202,75;-;-;2544,4;-;-;583,14;583,14;67;4,5;-;-;
120040 Rio Branco;1263;1272;1299381,95;1005803,14;-;-;293578,81;-;-;1021,53;1028,81;7550;6;78;6,18;
120042 Rodrigues Alves;73;74;38710,06;28430,98;-;-;10279,08;-;-;523,11;530,27;266;3,6;4;5,48;
120043 Santa Rosa do Purus;13;13;7061,48;5201,48;-;-;1860;-;-;543,19;543,19;36;2,8;1;7,69;
120050 Sena Madureira;199;202;124642,63;98429,99;-;-;26212,64;-;-;617,04;626,34;892;4,5;8;4,02;
120045 Senador Guiomard;55;55;41743,88;32413,14;-;-;9330,74;-;-;758,98;758,98;240;4,4;4;7,27;
120060 Tarauacá;161;164;99988,51;76255,67;-;-;23732,84;-;-;609,69;621,05;584;3,6;2;1,24;
120070 Xapuri;62;62;50404,42;40196,91;-;-;10207,51;-;-;812,97;812,97;360;5,8;-;-;
130002 Alvarães;69;69;30460,92;21892,66;-;-;8568,26;-;-;441,46;441,46;273;4;4;5,8;
