 Morbidade Hospitalar do SUS - por local de residência - Brasil;;;;;;;;;;;;;;;;
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município;;;;;;;;;;;;;;;;
Período:Abr/2020;;;;;;;;;;;;;;;;
Município;Internações;AIH_aprovadas;Valor_total;Valor_serviços_hospitalares;Val_serv_hosp_-_compl_federal;Val_serv_hosp_-_compl_gestor;Valor_serviços_profissionais;Val_serv_prof_-_compl_federal;Val_serv_prof_-_compl_gestor;Valor_médio_AIH;Valor_médio_intern;Dias_permanência;Média_permanência;Óbitos;Taxa_mortalidade;Data
430630 David Canabarro;23;23;27341,62;21889,68;-;-;5451,94;-;-;1188,77;1188,77;104;4,5;5;21,74;
430632 Derrubadas;27;27;32568,96;28317,45;-;-;4251,51;-;-;1206,26;1206,26;202;7,5;1;3,7;
430635 Dezesseis de Novembro;12;12;14815,61;11930,42;-;-;2885,19;-;-;1234,63;1234,63;43;3,6;-;-;
430637 Dilermando de Aguiar;18;18;22488,44;19268,41;-;-;3220,03;-;-;1249,36;1249,36;94;5,2;2;11,11;
430640 Dois Irmãos;94;94;162079,49;128110,13;-;-;33969,36;-;-;1724,25;1724,25;567;6;3;3,19;
430642 Dois Irmãos das Missões;9;9;20531,77;17460,55;-;-;3071,22;-;-;2281,31;2281,31;57;6,3;-;-;
430645 Dois Lajeados;24;24;23263,08;17691,42;-;-;5571,66;-;-;969,3;969,3;98;4,1;1;4,17;
430650 Dom Feliciano;62;62;118727,25;106292,72;-;-;12434,53;-;-;1914,96;1914,96;315;5,1;8;12,9;
430660 Dom Pedrito;164;164;163456,08;134213,93;-;-;29242,15;-;-;996,68;996,68;892;5,4;9;5,49;
430655 Dom Pedro de Alcântara;7;7;4507,24;3341,94;-;-;1165,3;-;-;643,89;643,89;16;2,3;1;14,29;
430670 Dona Francisca;19;19;30468,07;25704,38;-;-;4763,69;-;-;1603,58;1603,58;135;7,1;2;10,53;
430673 Doutor Maurício Cardoso;23;23;29715,19;26437,85;-;-;3277,34;-;-;1291,96;1291,96;63;2,7;-;-;
430675 Doutor Ricardo;6;6;11719,07;10243,89;-;-;1475,18;-;-;1953,18;1953,18;18;3;-;-;
430676 Eldorado do Sul;181;183;278389,52;224862,45;-;-;53527,07;-;-;1521,25;1538,06;1217;6,7;6;3,31;
430680 Encantado;138;138;205547,34;158058,5;-;-;47488,84;-;-;1489,47;1489,47;744;5,4;9;6,52;
430690 Encruzilhada do Sul;106;106;144662,57;114220,63;-;-;30441,94;-;-;1364,74;1364,74;500;4,7;5;4,72;
430692 Engenho Velho;9;9;32530,7;26849,76;-;-;5680,94;-;-;3614,52;3614,52;104;11,6;-;-;
430695 Entre Rios do Sul;16;16;40825,11;31959,76;-;-;8865,35;-;-;2551,57;2551,57;68;4,3;-;-;
430693 Entre-Ijuís;58;58;106783,93;88645,81;-;-;18138,12;-;-;1841,1;1841,1;244;4,2;5;8,62;
430697 Erebango;24;24;29631,91;23574,61;-;-;6057,3;-;-;1234,66;1234,66;118;4,9;2;8,33;
430700 Erechim;451;452;715347,29;585726,05;-;-;129621,24;-;-;1582,63;1586,14;2555;5,7;25;5,54;
430705 Ernestina;29;29;70949,88;59778,77;-;-;11171,11;-;-;2446,55;2446,55;139;4,8;-;-;
430720 Erval Grande;22;22;54604,46;46449,34;-;-;8155,12;-;-;2482,02;2482,02;138;6,3;1;4,55;
430730 Erval Seco;40;40;51222,36;41126,57;-;-;10095,79;-;-;1280,56;1280,56;144;3,6;2;5;
430740 Esmeralda;14;14;14542,72;11625,93;-;152,94;2599,15;152,94;164,7;1038,77;1038,77;80;5,7;1;7,14;
430745 Esperança do Sul;9;9;22389,35;19255,07;-;-;3134,28;-;-;2487,71;2487,71;82;9,1;1;11,11;
430750 Espumoso;101;101;182220,67;147129,26;-;-;35091,41;-;-;1804,17;1804,17;487;4,8;3;2,97;
430755 Estação;29;29;145497,83;128532,34;-;-;16965,49;-;-;5017,17;5017,17;179;6,2;4;13,79;
430760 Estância Velha;201;201;304127,39;238343,58;-;-;65783,81;-;-;1513,07;1513,07;909;4,5;9;4,48;
430770 Esteio;553;554;698683,33;590684,86;-;-;107998,47;-;-;1261,16;1263,44;3431;6,2;25;4,52;
430780 Estrela;178;178;350589,47;286685,98;-;-;63903,49;-;-;1969,6;1969,6;888;5;5;2,81;
430781 Estrela Velha;16;16;23905,69;19419,25;-;-;4486,44;-;-;1494,11;1494,11;63;3,9;-;-;
430783 Eugênio de Castro;15;15;24200,04;19833,61;-;-;4366,43;-;-;1613,34;1613,34;63;4,2;1;6,67;
430786 Fagundes Varela;10;10;12270,95;10251,93;-;-;2019,02;-;-;1227,09;1227,09;44;4,4;1;10;
430790 Farroupilha;290;290;455025,16;368582,45;-;-;86442,71;-;-;1569,05;1569,05;1268;4,4;16;5,52;
430800 Faxinal do Soturno;35;35;34497,18;27698,08;-;-;6799,1;-;-;985,63;985,63;163;4,7;-;-;
430805 Faxinalzinho;21;21;29485,26;25892,07;-;-;3593,19;-;-;1404,06;1404,06;51;2,4;1;4,76;
430807 Fazenda Vilanova;27;27;39077,27;32417,87;-;-;6659,4;-;-;1447,31;1447,31;107;4;1;3,7;
430810 Feliz;53;53;70601,87;59018,3;-;-;11583,57;-;-;1332,11;1332,11;307;5,8;2;3,77;
430820 Flores da Cunha;85;86;102840,72;81049,2;-;-;21791,52;-;-;1195,82;1209,89;349;4,1;2;2,35;
430825 Floriano Peixoto;6;6;4021,48;2697,74;-;-;1323,74;-;-;670,25;670,25;15;2,5;1;16,67;
430830 Fontoura Xavier;31;31;43524,06;37061,68;-;-;6462,38;-;-;1404;1404;210;6,8;3;9,68;
430840 Formigueiro;35;35;24860,02;19261,67;-;-;5598,35;-;-;710,29;710,29;192;5,5;2;5,71;
430843 Forquetinha;31;31;16712,88;13655,33;-;-;3057,55;-;-;539,13;539,13;123;4;5;16,13;
430845 Fortaleza dos Valos;19;19;29928,99;26700,95;-;-;3228,04;-;-;1575,21;1575,21;82;4,3;1;5,26;
430850 Frederico Westphalen;166;166;222521,55;174159,99;-;-;48361,56;-;-;1340,49;1340,49;1045;6,3;7;4,22;
430860 Garibaldi;116;116;128002,76;106680,87;-;-;21321,89;-;-;1103,47;1103,47;518;4,5;2;1,72;
430865 Garruchos;9;9;17106,1;13138,82;-;-;3967,28;-;-;1900,68;1900,68;17;1,9;-;-;
430870 Gaurama;35;35;46204,85;38402,05;-;-;7802,8;-;-;1320,14;1320,14;124;3,5;2;5,71;
430880 General Câmara;39;43;64862,72;52636,78;-;-;12225,94;-;-;1508,44;1663,15;357;9,2;-;-;
430885 Gentil;10;10;12581,8;10240,46;-;-;2341,34;-;-;1258,18;1258,18;53;5,3;2;20;
430890 Getúlio Vargas;92;92;127339,46;106173,56;-;-;21165,9;-;-;1384,12;1384,12;520;5,7;5;5,43;
430900 Giruá;89;89;85164,97;70799,89;-;-;14365,08;-;-;956,91;956,91;512;5,8;6;6,74;
430905 Glorinha;22;22;66095,15;53133,72;-;-;12961,43;-;-;3004,33;3004,33;134;6,1;3;13,64;
430910 Gramado;276;276;298034,88;223900,01;-;-;74134,87;-;-;1079,84;1079,84;899;3,3;10;3,62;
430912 Gramado dos Loureiros;15;15;11768,3;9429,79;-;-;2338,51;-;-;784,55;784,55;83;5,5;1;6,67;
430915 Gramado Xavier;22;22;15761,13;13030,43;-;-;2730,7;-;-;716,41;716,41;93;4,2;1;4,55;
430920 Gravataí;940;941;1608184,6;1292450,2;-;-;315734,4;-;-;1709,02;1710,83;5947;6,3;55;5,85;
430925 Guabiju;14;14;14495,68;12488,76;-;-;2006,92;-;-;1035,41;1035,41;54;3,9;2;14,29;
430930 Guaíba;349;351;740927,05;622232,28;-;-;118694,77;-;-;2110,9;2123;2407;6,9;14;4,01;
430940 Guaporé;98;101;98903,85;81609,87;-;-;17293,98;-;-;979,25;1009,22;516;5,3;1;1,02;
430950 Guarani das Missões;49;49;85520,18;70831,1;-;-;14689,08;-;-;1745,31;1745,31;274;5,6;4;8,16;
430955 Harmonia;25;25;35089,64;28042,31;-;-;7047,33;-;-;1403,59;1403,59;145;5,8;2;8;
430710 Herval;21;21;30137,2;24881,4;-;-;5255,8;-;-;1435,1;1435,1;106;5;2;9,52;
430957 Herveiras;24;24;20985,18;18087,38;-;-;2897,8;-;-;874,38;874,38;113;4,7;-;-;
430960 Horizontina;91;91;123326,94;101815,08;-;-;21511,86;-;-;1355,24;1355,24;351;3,9;5;5,49;
430965 Hulha Negra;14;14;7673,27;5911,81;-;-;1761,46;-;-;548,09;548,09;58;4,1;1;7,14;
430970 Humaitá;23;23;42076,16;35678,38;-;-;6397,78;-;-;1829,4;1829,4;162;7;1;4,35;
430975 Ibarama;21;21;43696,06;37059,51;-;-;6636,55;-;-;2080,76;2080,76;103;4,9;-;-;
430980 Ibiaçá;10;10;11899,78;9177,8;-;-;2721,98;-;-;1189,98;1189,98;40;4;-;-;
430990 Ibiraiaras;13;13;39584,93;33629,27;-;-;5955,66;-;-;3044,99;3044,99;114;8,8;1;7,69;
430995 Ibirapuitã;24;24;37121,22;30744,36;-;-;6376,86;-;-;1546,72;1546,72;114;4,8;1;4,17;
431000 Ibirubá;92;92;221441,34;185745,79;-;-;35695,55;-;-;2406,97;2406,97;277;3;3;3,26;
431010 Igrejinha;254;254;274894,49;217105,45;-;-;57789,04;-;-;1082,26;1082,26;1231;4,8;9;3,54;
431020 Ijuí;398;398;716876,55;586464,17;-;-;130412,38;-;-;1801,2;1801,2;2095;5,3;32;8,04;
431030 Ilópolis;13;13;29382,55;25056,72;-;-;4325,83;-;-;2260,2;2260,2;105;8,1;-;-;
431033 Imbé;105;105;177607,4;133901,76;-;-;43705,64;-;-;1691,5;1691,5;458;4,4;4;3,81;
431036 Imigrante;24;24;76855,32;57601,92;-;-;19253,4;-;-;3202,31;3202,31;91;3,8;2;8,33;
431040 Independência;25;25;31699,33;25870,97;-;-;5828,36;-;-;1267,97;1267,97;127;5,1;-;-;
431041 Inhacorá;18;18;10129,12;7758,52;-;-;2370,6;-;-;562,73;562,73;61;3,4;1;5,56;
431043 Ipê;19;19;18360,39;14294,62;-;-;4065,77;-;-;966,34;966,34;72;3,8;-;-;
431046 Ipiranga do Sul;8;8;4558,56;3741,61;-;-;816,95;-;-;569,82;569,82;19;2,4;1;12,5;
431050 Iraí;50;50;38187,55;31582,52;-;-;6605,03;-;-;763,75;763,75;264;5,3;1;2;
431053 Itaara;18;18;41581,3;34907,4;-;-;6673,9;-;-;2310,07;2310,07;103;5,7;-;-;
431055 Itacurubi;17;17;21771,05;18808,27;-;-;2962,78;-;-;1280,65;1280,65;102;6;2;11,76;
431057 Itapuca;15;15;32438,94;27765,06;-;-;4673,88;-;-;2162,6;2162,6;61;4,1;-;-;
431060 Itaqui;153;153;153911,31;125376,36;-;-;28534,95;-;-;1005,96;1005,96;791;5,2;13;8,5;
431065 Itati;20;20;18917,84;15421,46;-;-;3496,38;-;-;945,89;945,89;92;4,6;2;10;
431070 Itatiba do Sul;25;25;73741,76;62793,91;-;-;10947,85;-;-;2949,67;2949,67;251;10;4;16;
431075 Ivorá;5;5;2055,48;1490,04;-;-;565,44;-;-;411,1;411,1;15;3;-;-;
431080 Ivoti;83;83;128753,16;104422,67;-;-;24330,49;-;-;1551,24;1551,24;516;6,2;6;7,23;
431085 Jaboticaba;34;34;32081,77;25875,54;-;-;6206,23;-;-;943,58;943,58;115;3,4;-;-;
431087 Jacuizinho;4;4;4761,9;3166,08;-;-;1595,82;-;-;1190,48;1190,48;12;3;-;-;
431090 Jacutinga;10;10;8577,38;6380,46;-;-;2196,92;-;-;857,74;857,74;43;4,3;-;-;
431100 Jaguarão;103;103;169165,75;138060,58;-;-;31105,17;-;-;1642,39;1642,39;601;5,8;10;9,71;
431110 Jaguari;52;52;63639,71;54769,25;-;-;8870,46;-;-;1223,84;1223,84;385;7,4;4;7,69;
431112 Jaquirana;15;17;29755,17;25750,04;-;-;4005,13;-;-;1750,3;1983,68;125;8,3;-;-;
431113 Jari;11;11;20880,51;16674,51;-;-;4206;-;-;1898,23;1898,23;91;8,3;-;-;
431115 Jóia;24;24;33051,26;25688,73;-;-;7362,53;-;-;1377,14;1377,14;111;4,6;2;8,33;
431120 Júlio de Castilhos;79;79;86698,41;74669,05;-;-;12029,36;-;-;1097,45;1097,45;442;5,6;3;3,8;
431123 Lagoa Bonita do Sul;12;12;24989,7;21776,4;-;-;3213,3;-;-;2082,47;2082,47;35;2,9;-;-;
431127 Lagoa dos Três Cantos;14;14;21340,71;17935,3;-;-;3405,41;-;-;1524,34;1524,34;74;5,3;2;14,29;
431130 Lagoa Vermelha;96;97;168277,64;142922,7;-;-;25354,94;-;-;1734,82;1752,89;627;6,5;10;10,42;
431125 Lagoão;30;30;79251,64;74800;-;-;4451,64;-;-;2641,72;2641,72;131;4,4;1;3,33;
431140 Lajeado;317;317;570520,26;446470,64;-;-;124049,62;-;-;1799,75;1799,75;1278;4;17;5,36;
431142 Lajeado do Bugre;11;12;11021,77;8904,76;-;-;2117,01;-;-;918,48;1001,98;99;9;-;-;
431150 Lavras do Sul;27;27;29596,1;23896,65;-;-;5699,45;-;-;1096,15;1096,15;128;4,7;2;7,41;
431160 Liberato Salzano;18;18;40823,85;33442,9;-;-;7380,95;-;-;2267,99;2267,99;98;5,4;1;5,56;
431162 Lindolfo Collor;36;36;28687,64;21448,82;-;-;7238,82;-;-;796,88;796,88;131;3,6;-;-;
431164 Linha Nova;12;12;9835,92;7855,2;-;-;1980,72;-;-;819,66;819,66;61;5,1;1;8,33;
431171 Maçambará;46;46;68596,86;57670,11;-;-;10926,75;-;-;1491,24;1491,24;108;2,3;1;2,17;
431170 Machadinho;16;16;25712,78;22264,54;-;-;3448,24;-;-;1607,05;1607,05;80;5;-;-;
431173 Mampituba;10;10;17005;13817,67;-;-;3187,33;-;-;1700,5;1700,5;44;4,4;1;10;
431175 Manoel Viana;5;5;16680,38;13529,17;-;-;3151,21;-;-;3336,08;3336,08;20;4;-;-;
431177 Maquiné;37;37;42659,45;31937,15;-;-;10722,3;-;-;1152,96;1152,96;147;4;2;5,41;
431179 Maratá;13;13;35849,73;29546,28;-;-;6303,45;-;-;2757,67;2757,67;133;10,2;1;7,69;
431180 Marau;242;242;295779,03;242292,94;-;-;53486,09;-;-;1222,23;1222,23;1054;4,4;8;3,31;
431190 Marcelino Ramos;35;35;86886,17;67210,3;-;-;19675,87;-;-;2482,46;2482,46;184;5,3;1;2,86;
431198 Mariana Pimentel;22;22;34195,05;27776;-;-;6419,05;-;-;1554,32;1554,32;194;8,8;3;13,64;
431200 Mariano Moro;8;8;18923,02;14942,06;-;-;3980,96;-;-;2365,38;2365,38;60;7,5;1;12,5;
431205 Marques de Souza;36;36;40764,14;32972,89;-;-;7791,25;-;-;1132,34;1132,34;150;4,2;1;2,78;
431210 Mata;11;11;24387,7;19056,88;-;-;5330,82;-;-;2217,06;2217,06;84;7,6;1;9,09;
431213 Mato Castelhano;18;18;40023,01;30840,93;-;-;9182,08;-;-;2223,5;2223,5;62;3,4;2;11,11;
431215 Mato Leitão;17;17;29800,09;20267,47;-;-;9532,62;-;-;1752,95;1752,95;87;5,1;-;-;
431217 Mato Queimado;16;16;24998,05;21196,57;-;-;3801,48;-;-;1562,38;1562,38;111;6,9;-;-;
431220 Maximiliano de Almeida;43;43;27494,39;23196,9;-;-;4297,49;-;-;639,4;639,4;228;5,3;1;2,33;
431225 Minas do Leão;43;43;45431,81;37735,73;-;-;7696,08;-;-;1056,55;1056,55;288;6,7;-;-;
431230 Miraguaí;51;51;77278,84;64130,41;-;-;13148,43;-;-;1515,27;1515,27;231;4,5;1;1,96;
431235 Montauri;2;2;1053,38;718,26;-;-;335,12;-;-;526,69;526,69;11;5,5;-;-;
431237 Monte Alegre dos Campos;17;17;14084,6;9812,92;-;-;4271,68;-;-;828,51;828,51;48;2,8;-;-;
431238 Monte Belo do Sul;5;5;8927,1;7513,68;-;-;1413,42;-;-;1785,42;1785,42;27;5,4;1;20;
431240 Montenegro;286;286;627674,73;518437,28;-;-;109237,45;-;-;2194,67;2194,67;2289;8;15;5,24;
431242 Mormaço;18;18;19046,75;15519,63;-;-;3527,12;-;-;1058,15;1058,15;69;3,8;-;-;
431244 Morrinhos do Sul;16;16;48948,93;37267;-;-;11681,93;-;-;3059,31;3059,31;86;5,4;-;-;
431245 Morro Redondo;22;22;67968,76;52815,55;-;-;15153,21;-;-;3089,49;3089,49;215;9,8;3;13,64;
431247 Morro Reuter;7;7;8201,14;6284,64;-;-;1916,5;-;-;1171,59;1171,59;43;6,1;-;-;
431250 Mostardas;62;62;92184,83;73104;-;-;19080,83;-;-;1486,85;1486,85;334;5,4;2;3,23;
431260 Muçum;23;23;18147,21;16015,21;-;-;2132;-;-;789,01;789,01;77;3,3;2;8,7;
431261 Muitos Capões;23;23;44618,91;38249,27;-;-;6369,64;-;-;1939,95;1939,95;109;4,7;1;4,35;
431262 Muliterno;13;13;19487,35;15997,09;-;-;3490,26;-;-;1499,03;1499,03;52;4;-;-;
431265 Não-Me-Toque;82;83;129614,64;110245,33;-;-;19369,31;-;-;1561,62;1580,67;322;3,9;8;9,76;
431267 Nicolau Vergueiro;19;19;18388,26;14860,41;-;-;3527,85;-;-;967,8;967,8;73;3,8;-;-;
431270 Nonoai;95;95;108110,33;92912,41;-;-;15197,92;-;-;1138;1138;569;6;4;4,21;
431275 Nova Alvorada;11;11;30308,98;26734,89;-;-;3574,09;-;-;2755,36;2755,36;68;6,2;1;9,09;
431280 Nova Araçá;13;13;7402,71;5500,44;-;-;1902,27;-;-;569,44;569,44;46;3,5;1;7,69;
431290 Nova Bassano;37;37;62131,04;50783,03;-;-;11348,01;-;-;1679,22;1679,22;146;3,9;2;5,41;
431295 Nova Boa Vista;4;4;12361,31;11481,02;-;-;880,29;-;-;3090,33;3090,33;21;5,3;-;-;
431300 Nova Bréscia;24;24;31688,99;22755,21;-;-;8933,78;-;-;1320,37;1320,37;143;6;1;4,17;
431301 Nova Candelária;22;22;24247,77;20315,48;-;-;3932,29;-;-;1102,17;1102,17;70;3,2;1;4,55;
431303 Nova Esperança do Sul;28;28;43777,35;34158,18;-;-;9619,17;-;-;1563,48;1563,48;96;3,4;1;3,57;
431306 Nova Hartz;80;80;164646,55;138494,62;-;-;26151,93;-;-;2058,08;2058,08;387;4,8;4;5;
431308 Nova Pádua;6;6;6983,16;6086,11;-;-;897,05;-;-;1163,86;1163,86;44;7,3;-;-;
431310 Nova Palma;48;48;29972,2;24992,59;-;-;4979,61;-;-;624,42;624,42;273;5,7;4;8,33;
431320 Nova Petrópolis;89;89;85857,77;70539,36;-;-;15318,41;-;-;964,69;964,69;312;3,5;6;6,74;
431330 Nova Prata;111;112;149668,29;122415,83;-;-;27252,46;-;-;1336,32;1348,36;468;4,2;6;5,41;
431333 Nova Ramada;1;1;790,39;513,96;-;-;276,43;-;-;790,39;790,39;3;3;-;-;
431335 Nova Roma do Sul;11;11;11297,28;9576,04;-;-;1721,24;-;-;1027,03;1027,03;26;2,4;1;9,09;
431337 Nova Santa Rita;110;110;131317,22;106934,39;-;-;24382,83;-;-;1193,79;1193,79;503;4,6;4;3,64;
431349 Novo Barreiro;7;7;8307,4;6876,83;-;-;1430,57;-;-;1186,77;1186,77;28;4;1;14,29;
431339 Novo Cabrais;28;28;48701,01;40532,44;-;-;8168,57;-;-;1739,32;1739,32;133;4,8;-;-;
431340 Novo Hamburgo;957;968;2007943,15;1632313,77;-;-;375629,38;-;-;2074,32;2098,16;5711;6;52;5,43;
431342 Novo Machado;25;25;26769,9;20737,08;-;-;6032,82;-;-;1070,8;1070,8;95;3,8;-;-;
431344 Novo Tiradentes;17;17;26145,44;22953,02;-;-;3192,42;-;-;1537,97;1537,97;42;2,5;1;5,88;
431346 Novo Xingu;10;10;14426,57;12760,17;-;-;1666,4;-;-;1442,66;1442,66;36;3,6;1;10;
431350 Osório;218;218;308095,33;251272,87;-;-;56822,46;-;-;1413,28;1413,28;1569;7,2;11;5,05;
431360 Paim Filho;20;20;34175,38;28625,56;-;-;5549,82;-;-;1708,77;1708,77;95;4,8;2;10;
431365 Palmares do Sul;66;66;109101,67;87594,7;-;-;21506,97;-;-;1653,06;1653,06;463;7;4;6,06;
431370 Palmeira das Missões;166;166;189190,45;154519,94;-;-;34670,51;-;-;1139,7;1139,7;922;5,6;13;7,83;
431380 Palmitinho;94;94;77669,22;63442,65;-;-;14226,57;-;-;826,27;826,27;341;3,6;-;-;
431390 Panambi;198;198;257390,94;214144,05;-;-;43246,89;-;-;1299,95;1299,95;808;4,1;11;5,56;
431395 Pantano Grande;47;47;84350,7;64353,62;-;-;19997,08;-;-;1794,7;1794,7;182;3,9;8;17,02;
431400 Paraí;38;38;36926,29;28408,61;-;-;8517,68;-;-;971,74;971,74;123;3,2;-;-;
431402 Paraíso do Sul;61;61;62693,6;50820,91;-;-;11872,69;-;-;1027,76;1027,76;239;3,9;3;4,92;
431403 Pareci Novo;12;12;16659,88;13661,18;-;-;2998,7;-;-;1388,32;1388,32;80;6,7;1;8,33;
431405 Parobé;297;297;365266,04;284497,18;-;-;80768,86;-;-;1229,85;1229,85;1351;4,5;18;6,06;
431406 Passa Sete;14;14;23962,64;20197,81;-;-;3764,83;-;-;1711,62;1711,62;105;7,5;-;-;
431407 Passo do Sobrado;22;22;95496,93;85132,35;-;-;10364,58;-;-;4340,77;4340,77;192;8,7;-;-;
431410 Passo Fundo;931;941;1864157,89;1549510,09;-;-;314647,8;-;-;1981,04;2002,32;5756;6,2;73;7,84;
431413 Paulo Bento;11;11;7305,46;6152,53;-;-;1152,93;-;-;664,13;664,13;22;2;1;9,09;
431415 Paverama;37;37;73897,01;62982,16;-;-;10914,85;-;-;1997,22;1997,22;213;5,8;4;10,81;
431417 Pedras Altas;4;4;12564,72;9521,34;-;-;3043,38;-;-;3141,18;3141,18;70;17,5;-;-;
431420 Pedro Osório;46;46;58288,94;46041,69;-;-;12247,25;-;-;1267,15;1267,15;355;7,7;1;2,17;
431430 Pejuçara;14;14;16376,56;14338,8;-;-;2037,76;-;-;1169,75;1169,75;32;2,3;-;-;
431440 Pelotas;1288;1326;2272914,91;1875032,66;-;-;397882,25;-;-;1714,11;1764,69;12581;9,8;82;6,37;
431442 Picada Café;30;30;20423,38;17954,78;-;-;2468,6;-;-;680,78;680,78;137;4,6;3;10;
431445 Pinhal;22;22;23678,21;20278,46;-;-;3399,75;-;-;1076,28;1076,28;73;3,3;-;-;
431446 Pinhal da Serra;6;8;12647,34;10882,22;-;-;1765,12;-;-;1580,92;2107,89;77;12,8;-;-;
431447 Pinhal Grande;21;21;34819,28;28312,16;-;-;6507,12;-;-;1658,06;1658,06;135;6,4;2;9,52;
431449 Pinheirinho do Vale;16;16;42296,9;36790,63;-;-;5506,27;-;-;2643,56;2643,56;104;6,5;3;18,75;
431450 Pinheiro Machado;28;28;41231,42;33969,57;-;-;7261,85;-;-;1472,55;1472,55;193;6,9;2;7,14;
431454 Pinto Bandeira;7;7;4432,81;3232,55;-;-;1200,26;-;-;633,26;633,26;6;0,9;-;-;
431455 Pirapó;6;6;3359,86;2620,17;-;-;739,69;-;-;559,98;559,98;17;2,8;-;-;
431460 Piratini;98;98;105614,18;89871,75;-;-;15742,43;-;-;1077,7;1077,7;835;8,5;6;6,12;
431470 Planalto;72;72;95087,47;82829,25;-;-;12258,22;-;-;1320,66;1320,66;324;4,5;3;4,17;
431475 Poço das Antas;7;7;11146,19;8852,5;-;-;2293,69;-;-;1592,31;1592,31;22;3,1;1;14,29;
431477 Pontão;24;24;43487,88;35697,07;-;-;7790,81;-;-;1812;1812;96;4;1;4,17;
431478 Ponte Preta;10;10;24300,72;19948,64;-;-;4352,08;-;-;2430,07;2430,07;26;2,6;-;-;
431480 Portão;171;171;192673,07;153034,18;-;-;39638,89;-;-;1126,74;1126,74;833;4,9;8;4,68;
431490 Porto Alegre;6960;7043;12875030,42;10584663;-;-;2290367,42;-;-;1828,06;1849,86;56054;8,1;302;4,34;
431500 Porto Lucena;31;31;52990,34;42975,44;-;-;10014,9;-;-;1709,37;1709,37;176;5,7;3;9,68;
431505 Porto Mauá;15;15;14118,2;12260,14;-;-;1858,06;-;-;941,21;941,21;83;5,5;-;-;
431507 Porto Vera Cruz;13;13;7847,75;6586,84;-;-;1260,91;-;-;603,67;603,67;33;2,5;1;7,69;
431510 Porto Xavier;54;54;127469,03;104844,84;-;-;22624,19;-;-;2360,54;2360,54;176;3,3;4;7,41;
431513 Pouso Novo;12;12;27903,9;22977,05;-;-;4926,85;-;-;2325,32;2325,32;49;4,1;1;8,33;
431514 Presidente Lucena;17;17;12766,99;9863,42;-;-;2903,57;-;-;751;751;81;4,8;-;-;
431515 Progresso;11;11;59717,71;51249,11;-;-;8468,6;-;-;5428,88;5428,88;98;8,9;-;-;
431517 Protásio Alves;9;9;4292,64;3306,05;-;-;986,59;-;-;476,96;476,96;48;5,3;-;-;
431520 Putinga;14;14;22544,23;18922,85;-;-;3621,38;-;-;1610,3;1610,3;99;7,1;2;14,29;
431530 Quaraí;78;79;65950,99;54892,16;-;-;11058,83;-;-;834,82;845,53;435;5,6;8;10,26;
431531 Quatro Irmãos;19;19;34661,31;27796,18;-;-;6865,13;-;-;1824,28;1824,28;98;5,2;-;-;
431532 Quevedos;6;6;4989,85;4320,64;-;-;669,21;-;-;831,64;831,64;52;8,7;-;-;
431535 Quinze de Novembro;16;16;18197,9;15510,58;-;-;2687,32;-;-;1137,37;1137,37;94;5,9;1;6,25;
431540 Redentora;90;90;121977,93;96769,06;-;-;25208,87;-;-;1355,31;1355,31;414;4,6;3;3,33;
431545 Relvado;5;5;4656,1;3853,35;-;-;802,75;-;-;931,22;931,22;23;4,6;1;20;
431550 Restinga Seca;58;58;64296,3;54237,62;-;-;10058,68;-;-;1108,56;1108,56;292;5;4;6,9;
431555 Rio dos Índios;24;24;13121,81;11597,32;-;-;1524,49;-;-;546,74;546,74;111;4,6;-;-;
431560 Rio Grande;1063;1069;1782733,99;1434411,22;-;-;348322,77;-;-;1667,67;1677,08;9311;8,8;70;6,59;
431570 Rio Pardo;177;177;239520,79;197945,78;-;-;41575,01;-;-;1353,22;1353,22;895;5,1;19;10,73;
431575 Riozinho;12;12;14177,24;11585,52;-;-;2591,72;-;-;1181,44;1181,44;46;3,8;-;-;
431580 Roca Sales;36;36;33342,72;24514,73;-;-;8827,99;-;-;926,19;926,19;143;4;-;-;
431590 Rodeio Bonito;41;41;45366,27;36854,88;-;-;8511,39;-;-;1106,49;1106,49;196;4,8;2;4,88;
431595 Rolador;18;18;21386,49;18206,65;-;-;3179,84;-;-;1188,14;1188,14;62;3,4;-;-;
431600 Rolante;103;103;230863,4;180771,63;-;-;50091,77;-;-;2241,39;2241,39;718;7;4;3,88;
431610 Ronda Alta;107;107;99787,82;85687,83;-;-;14099,99;-;-;932,6;932,6;684;6,4;4;3,74;
431620 Rondinha;23;23;47114,79;39726,95;-;-;7387,84;-;-;2048,47;2048,47;139;6;2;8,7;
431630 Roque Gonzales;47;47;80877,58;67666,64;-;-;13210,94;-;-;1720,8;1720,8;167;3,6;2;4,26;
431640 Rosário do Sul;170;170;249593,21;202112,87;-;-;47480,34;-;-;1468,2;1468,2;925;5,4;14;8,24;
431642 Sagrada Família;9;9;11871,17;7916,63;-;-;3954,54;-;-;1319,02;1319,02;64;7,1;-;-;
431643 Saldanha Marinho;10;10;11643,52;9268,35;-;-;2375,17;-;-;1164,35;1164,35;23;2,3;2;20;
